binomial	stateabr
Verbesina mollis	AGS
Verbesina pantoptera	AGS
Verbesina parviflora	AGS
Verbesina pedunculosa	AGS
Verbesina serrata	AGS
Verbesina virgata	AGS
Vernonanthura serratuloides	AGS
Vernonia bealliae	AGS
Viguiera dentata	AGS
Wedelia rosei	AGS
Xanthisma gymnocephalum	AGS
Xanthisma spinulosum	AGS
Xanthium strumarium	AGS
Xanthocephalum benthamianum	AGS
Xanthocephalum gymnospermoides	AGS
Zaluzania augusta	AGS
Zaluzania mollissima	AGS
Zaluzania triloba	AGS
Zinnia acerosa	AGS
Zinnia angustifolia	AGS
Zinnia bicolor	AGS
Zinnia haageana	AGS
Zinnia peruviana	AGS
Begonia balmisiana	AGS
Begonia gracilis	AGS
Alnus acuminata	AGS
Alnus jorullensis	AGS
Carpinus tropicalis	AGS
Handroanthus impetiginosus	AGS
Tecoma stans	AGS
Cryptantha albida	AGS
Cryptantha mexicana	AGS
Lithospermum cobrense	AGS
Lithospermum strictum	AGS
Nama carnosa	AGS
Nama coulteri	AGS
Nama origanifolia	AGS
Nama palmeri	AGS
Nama undulata	AGS
Wigandia urens	AGS
Asta schaffneri	AGS
Cibotarium stellatum	AGS
Descurainia impatiens	AGS
Descurainia pinnata	AGS
Descurainia virletii	AGS
Erysimum asperum	AGS
Exhalimolobos berlandieri	AGS
Exhalimolobos palmeri	AGS
Hesperidanthus linearifolius	AGS
Lepidium virginicum	AGS
Mancoa bracteata	AGS
Nasturtium officinale	AGS
Pennellia micrantha	AGS
Physaria argyraea	AGS
Physaria fendleri	AGS
Physaria gordonii	AGS
Romanschulzia arabiformis	AGS
Rorippa mexicana	AGS
Rorippa pinnata	AGS
Hechtia glomerata	AGS
Hechtia podantha	AGS
Pitcairnia karwinskyana	AGS
Pitcairnia palmeri	AGS
Tillandsia aguascalientensis	AGS
Tillandsia andrieuxii	AGS
Tillandsia dugesii	AGS
Tillandsia erubescens	AGS
Tillandsia karwinskyana	AGS
Tillandsia polystachia	AGS
Tillandsia recurvata	AGS
Tillandsia schiedeana	AGS
Tillandsia usneoides	AGS
Viridantha mauryana	AGS
Viridantha tortilis	AGS
Bursera bipinnata	AGS
Bursera excelsa	AGS
Bursera fagaroides	AGS
Bursera multijuga	AGS
Bursera palmeri	AGS
Bursera penicillata	AGS
Bursera roseana	AGS
Bursera simaruba	AGS
Corynopuntia grahamii	AGS
Corynopuntia vilis	AGS
Coryphantha clavata	AGS
Coryphantha elephantidens	AGS
Coryphantha guerkeana	AGS
Coryphantha octacantha	AGS
Coryphantha ottonis	AGS
Coryphantha pycnacantha	AGS
Coryphantha radians	AGS
Cylindropuntia imbricata	AGS
Cylindropuntia tunicata	AGS
Echinocactus horizonthalonius	AGS
Echinocereus pectinatus	AGS
Echinocereus pulchellus	AGS
Echinocereus rigidissimus	AGS
Echinocereus triglochidiatus	AGS
Ferocactus histrix	AGS
Ferocactus latispinus	AGS
Hylocereus undatus	AGS
Lophocereus marginatus	AGS
Mammillaria bombycina	AGS
Mammillaria crinita	AGS
Mammillaria densispina	AGS
Mammillaria mercadensis	AGS
Mammillaria moelleriana	AGS
Mammillaria perezdelarosae	AGS
Mammillaria petterssonii	AGS
Mammillaria rettigiana	AGS
Mammillaria rhodantha	AGS
Mammillaria scrippsiana	AGS
Mammillaria standleyi	AGS
Mammillaria uncinata	AGS
Mammillaria wagneriana	AGS
Myrtillocactus geometrizans	AGS
Neolloydia conoidea	AGS
Opuntia cantabrigiensis	AGS
Opuntia durangensis	AGS
Opuntia engelmannii	AGS
Opuntia fuliginosa	AGS
Opuntia guilanchi	AGS
Opuntia hyptiacantha	AGS
Opuntia jaliscana	AGS
Opuntia joconostle	AGS
Opuntia lasiacantha	AGS
Opuntia leucotricha	AGS
Opuntia megacantha	AGS
Opuntia neochrysacantha	AGS
Opuntia phaeacantha	AGS
Opuntia pubescens	AGS
Opuntia rastrera	AGS
Opuntia robusta	AGS
Opuntia scheeri	AGS
Opuntia spinulifera	AGS
Opuntia stenopetala	AGS
Opuntia streptacantha	AGS
Opuntia tomentosa	AGS
Peniocereus serpentinus	AGS
Stenocactus dichroacanthus	AGS
Stenocactus heteracanthus	AGS
Stenocactus multicostatus	AGS
Stenocactus obvallatus	AGS
Stenocactus ochoterenianus	AGS
Stenocactus phyllacanthus	AGS
Stenocereus dumortieri	AGS
Stenocereus queretaroensis	AGS
Diastatea micrantha	AGS
Diastatea tenera	AGS
Lobelia berlandieri	AGS
Lobelia fenestralis	AGS
Lobelia gruina	AGS
Lobelia irasuensis	AGS
Lobelia laxiflora	AGS
Lobelia picta	AGS
Lobelia subnuda	AGS
Triodanis biflora	AGS
Aphananthe monoica	AGS
Celtis ehrenbergiana	AGS
Celtis iguanaea	AGS
Celtis reticulata	AGS
Abelia floribunda	AGS
Lonicera mexicana	AGS
Lonicera pilosa	AGS
Valeriana edulis	AGS
Valeriana sorbifolia	AGS
Carica papaya	AGS
Arenaria bourgaei	AGS
Arenaria lanuginosa	AGS
Arenaria lycopodioides	AGS
Cardionema ramosissimum	AGS
Cerastium nutans	AGS
Cerdia congestiflora	AGS
Drymaria anomala	AGS
Drymaria arenarioides	AGS
Drymaria glandulosa	AGS
Drymaria gracilis	AGS
Drymaria laxiflora	AGS
Drymaria leptophylla	AGS
Drymaria tenuis	AGS
Drymaria xerophylla	AGS
Minuartia moehringioides	AGS
Paronychia mexicana	AGS
Sagina saginoides	AGS
Silene laciniata	AGS
Spergularia mexicana	AGS
Stellaria umbellata	AGS
Mortonia palmeri	AGS
Wimmeria mexicana	AGS
Wimmeria microphylla	AGS
Helianthemum chihuahuense	AGS
Helianthemum glomeratum	AGS
Helianthemum patens	AGS
Helianthemum pringlei	AGS
Helianthemum pugae	AGS
Clethra hartwegii	AGS
Clethra mexicana	AGS
Commelina coelestis	AGS
Commelina dianthifolia	AGS
Commelina diffusa	AGS
Commelina erecta	AGS
Commelina leiocarpa	AGS
Commelina orchioides	AGS
Commelina scabra	AGS
Gibasis geniculata	AGS
Gibasis linearis	AGS
Tradescantia andrieuxii	AGS
Tradescantia crassifolia	AGS
Tradescantia zebrina	AGS
Tripogandra purpurascens	AGS
Convolvulus equitans	AGS
Cuscuta tinctoria	AGS
Dichondra argentea	AGS
Dichondra brachypoda	AGS
Evolvulus alsinoides	AGS
Evolvulus prostratus	AGS
Evolvulus sericeus	AGS
Ipomoea arborescens	AGS
Ipomoea aristolochiifolia	AGS
Ipomoea batatas	AGS
Ipomoea capillacea	AGS
Ipomoea costellata	AGS
Ipomoea cholulensis	AGS
Ipomoea emetica	AGS
Ipomoea hartwegii	AGS
Ipomoea hederifolia	AGS
Ipomoea intrapilosa	AGS
Ipomoea jacalana	AGS
Ipomoea lenis	AGS
Ipomoea longifolia	AGS
Ipomoea madrensis	AGS
Ipomoea murucoides	AGS
Ipomoea orizabensis	AGS
Ipomoea pedicellaris	AGS
Ipomoea pubescens	AGS
Ipomoea purpurea	AGS
Ipomoea sescossiana	AGS
Ipomoea setosa	AGS
Ipomoea stans	AGS
Ipomoea tricolor	AGS
Cordia boissieri	AGS
Varronia globosa	AGS
Varronia oaxacana	AGS
Crassula aquatica	AGS
Echeveria agavoides	AGS
Echeveria mucronata	AGS
Echeveria novogaliciana	AGS
Pachyphytum caesium	AGS
Pachyphytum fittkaui	AGS
Pachyphytum hookeri	AGS
Sedum bourgaei	AGS
Sedum calcaratum	AGS
Sedum ebracteatum	AGS
Sedum fuscum	AGS
Sedum minimum	AGS
Sedum napiferum	AGS
Sedum praealtum	AGS
Sedum quevae	AGS
Villadia misera	AGS
Forsellesia spinescens	AGS
Apodanthera undulata	AGS
Cucurbita foetidissima	AGS
Cucurbita pepo	AGS
Cucurbita radicans	AGS
Cyclanthera gracillima	AGS
Cyclanthera ribiflora	AGS
Cyclanthera tamnoides	AGS
Echinopepon jaliscanus	AGS
Echinopepon pubescens	AGS
Schizocarpum parviflorum	AGS
Sechiopsis triquetra	AGS
Sechium edule	AGS
Sicyos laciniatus	AGS
Sicyos microphyllus	AGS
Sicyos parviflorus	AGS
Abildgaardia mexicana	AGS
Bulbostylis arcuata	AGS
Bulbostylis capillaris	AGS
Bulbostylis funckii	AGS
Bulbostylis juncoides	AGS
Carex ciliaris	AGS
Carex marianensis	AGS
Carex praegracilis	AGS
Carex turbinata	AGS
Cyperus esculentus	AGS
Cyperus flavescens	AGS
Cyperus hermaphroditus	AGS
Cyperus laevigatus	AGS
Cyperus manimae	AGS
Cyperus mutisii	AGS
Cyperus niger	AGS
Cyperus ochraceus	AGS
Cyperus odoratus	AGS
Cyperus pallidicolor	AGS
Cyperus seslerioides	AGS
Cyperus spectabilis	AGS
Cyperus squarrosus	AGS
Cyperus surinamensis	AGS
Cyperus virens	AGS
Eleocharis acicularis	AGS
Eleocharis densa	AGS
Eleocharis ignota	AGS
Eleocharis macrostachya	AGS
Eleocharis minima	AGS
Eleocharis montana	AGS
Eleocharis montevidensis	AGS
Eleocharis nigrescens	AGS
Eleocharis rostellata	AGS
Eleocharis schaffneri	AGS
Fimbristylis argillicola	AGS
Fimbristylis dichotoma	AGS
Karinia mexicana	AGS
Kyllinga odorata	AGS
Lipocarpha micrantha	AGS
Rhynchospora contracta	AGS
Schoenoplectus acutus	AGS
Schoenoplectus californicus	AGS
Schoenoplectus tabernaemontani	AGS
Bdallophytum americanum	AGS
Dioscorea liebmannii	AGS
Dioscorea militaris	AGS
Lennoa madreporoides	AGS
Elatine brachysperma	AGS
Agarista mexicana	AGS
Arbutus arizonica	AGS
Arbutus occidentalis	AGS
Arbutus xalapensis	AGS
Arctostaphylos pungens	AGS
Comarostaphylis glaucescens	AGS
Comarostaphylis polifolia	AGS
Gaultheria erecta	AGS
Monotropa hypopitys	AGS
Eriocaulon jaliscanum	AGS
Eriocaulon schiedeanum	AGS
Acalypha adenostachya	AGS
Acalypha brevicaulis	AGS
Acalypha monostachya	AGS
Acalypha neomexicana	AGS
Acalypha persimilis	AGS
Acalypha phleoides	AGS
Bernardia mexicana	AGS
Croton ciliatoglandulifer	AGS
Croton dioicus	AGS
Croton disjunctus	AGS
Croton incanus	AGS
Croton michaelii	AGS
Croton pottsii	AGS
Euphorbia antisiphylitica	AGS
Euphorbia anychioides	AGS
Euphorbia berteroana	AGS
Euphorbia creberrima	AGS
Euphorbia cuphosperma	AGS
Euphorbia dentata	AGS
Euphorbia feddemae	AGS
